name,type,start_time,duration,"mosi","miso"
"SPI","result",24.13157886,0.00000236,0x00,0x00
"SPI","result",24.13158222,0.00000236,0x00,0x48
"SPI","disable",24.13158524,0.00000002,,
"SPI","enable",24.13660334,0.00000002,,
"SPI","result",24.1366039,0.00000236,0x7F,0xFF
"SPI","result",24.13660716,0.00000236,0x00,0xFF
"SPI","disable",24.13660982,0.00000002,,
"SPI","enable",24.13661044,0.00000002,,
"SPI","result",24.13661088,0.00000236,0xF0,0xFF
"SPI","result",24.13661418,0.00000236,0x00,0x00
"SPI","result",24.13661754,0.00000236,0x00,0x6C
"SPI","disable",24.13662056,0.00000002,,
"SPI","enable",24.1416387,0.00000002,,
"SPI","result",24.14163924,0.00000236,0x7F,0xFF
"SPI","result",24.1416425,0.00000236,0x00,0xFF
"SPI","disable",24.14164516,0.00000002,,
"SPI","enable",24.14164578,0.00000002,,
"SPI","result",24.14164622,0.00000236,0xF0,0xFF
"SPI","result",24.14164954,0.00000236,0x00,0x00
"SPI","result",24.1416529,0.00000236,0x00,0x90
"SPI","disable",24.14165592,0.00000002,,
"SPI","enable",24.14667402,0.00000002,,
"SPI","result",24.14667456,0.00000236,0x7F,0xFF
"SPI","result",24.14667782,0.00000236,0x00,0xFF
"SPI","disable",24.14668048,0.00000002,,
"SPI","enable",24.1466811,0.00000002,,
"SPI","result",24.14668154,0.00000236,0xF0,0xFF
"SPI","result",24.14668486,0.00000236,0x00,0x00
"SPI","result",24.14668822,0.00000236,0x00,0xAE
"SPI","disable",24.14669124,0.00000002,,
"SPI","enable",24.15171092,0.00000002,,
"SPI","result",24.15171156,0.00000236,0x7F,0xFF
"SPI","result",24.15171478,0.00000236,0x00,0xFF
"SPI","disable",24.15171744,0.00000002,,
"SPI","enable",24.15171816,0.00000002,,
"SPI","result",24.1517186,0.00000236,0xF0,0xFF
"SPI","result",24.15172208,0.00000236,0x00,0x00
"SPI","result",24.15172544,0.00000236,0x00,0xD2
"SPI","disable",24.15172846,0.00000002,,
"SPI","enable",24.15674466,0.00000002,,
"SPI","result",24.1567452,0.00000236,0x7F,0xFF
"SPI","result",24.15674846,0.00000236,0x00,0xFF
"SPI","disable",24.15675112,0.00000002,,
"SPI","enable",24.15675174,0.00000002,,
"SPI","result",24.15675218,0.00000236,0xF0,0xFF
"SPI","result",24.1567555,0.00000236,0x00,0x00
"SPI","result",24.15675886,0.00000234,0x00,0xF6
"SPI","disable",24.15676188,0.00000002,,
"SPI","enable",24.1617799,0.00000002,,
"SPI","result",24.16178044,0.00000236,0x7F,0xFF
"SPI","result",24.1617837,0.00000236,0x00,0xFF
"SPI","disable",24.16178636,0.00000002,,
"SPI","enable",24.16178698,0.00000002,,
"SPI","result",24.16178742,0.00000236,0xF0,0xFF
"SPI","result",24.16179074,0.00000236,0x00,0x01
"SPI","result",24.1617941,0.00000236,0x00,0x1A
"SPI","disable",24.16179712,0.00000002,,
"SPI","enable",24.16681524,0.00000002,,
"SPI","result",24.1668158,0.00000236,0x7F,0xFF
"SPI","result",24.16681904,0.00000236,0x00,0xFF
"SPI","disable",24.1668217,0.00000002,,
"SPI","enable",24.16682232,0.00000002,,
"SPI","result",24.16682278,0.00000236,0xF0,0xFF
